customer_id,signup_date,city,state,age_group,gender,customer_segment,preferred_device
CUS00001,2024-04-12,Houston,TX,56+,Female,New,Mobile App
CUS00002,2026-01-12,New York,NY,26-35,Female,Regular,Web
CUS00003,2025-09-19,Seattle,WA,56+,Female,Regular,Mobile App
CUS00004,2024-08-07,Phoenix,AZ,18-25,Male,New,Web
CUS00005,2025-06-30,New York,NY,36-45,Female,Regular,Web
CUS00006,2025-10-22,New York,NY,36-45,Female,Regular,Web
CUS00007,2024-09-07,Phoenix,AZ,18-25,Female,Regular,Web
CUS00008,2024-05-31,New York,NY,26-35,Female,Premium,Mobile App
CUS00009,2024-08-29,Phoenix,AZ,26-35,Male,Regular,Mobile App
CUS00010,2025-06-03,Phoenix,AZ,36-45,Female,Regular,Mobile App
CUS00011,2024-02-17,San Jose,CA,18-25,Male,Premium,Mobile App
CUS00012,2025-02-06,Phoenix,AZ,26-35,Female,New,Mobile App
CUS00013,2024-05-28,Boston,MA,36-45,Male,Regular,Web
CUS00014,2025-02-17,Seattle,WA,46-55,Female,Premium,Mobile App
CUS00015,2025-04-06,Dallas,TX,36-45,Female,New,Mobile App
CUS00016,2025-02-02,Austin,TX,26-35,Female,Premium,Web
CUS00017,2024-01-30,Seattle,WA,36-45,Male,Regular,Mobile App
CUS00018,2025-10-17,Philadelphia,PA,46-55,Male,Premium,Mobile App
CUS00019,2024-10-26,Los Angeles,CA,18-25,Male,Premium,Mobile App
CUS00020,2025-08-22,San Jose,CA,56+,Female,Regular,Mobile App
CUS00021,2025-03-16,Boston,MA,36-45,Male,Regular,Mobile App
CUS00022,2025-01-06,Chicago,IL,46-55,Female,Regular,Mobile App
CUS00023,2024-06-02,Chicago,IL,36-45,Male,Regular,Mobile App
CUS00024,2024-05-25,Austin,TX,56+,Female,Premium,Mobile App
CUS00025,2025-05-12,Philadelphia,PA,56+,Male,New,Mobile App
CUS00026,2024-06-12,Seattle,WA,36-45,Female,Regular,Mobile App
CUS00027,2024-12-06,Houston,TX,26-35,Male,Premium,Mobile App
CUS00028,2024-07-09,Houston,TX,36-45,Female,Regular,Mobile App
