delivery_id,order_id,promised_time_min,actual_time_min,delay_minutes,delivery_status,order_accuracy,customer_rating
DLV000001,ORD000001,54,71,17,Delayed,Correct,3
DLV000002,ORD000002,51,48,0,On-Time,Correct,5
DLV000003,ORD000003,31,57,26,Delayed,Correct,3
DLV000004,ORD000004,51,51,0,On-Time,Correct,5
DLV000005,ORD000005,56,69,13,Delayed,Correct,3
DLV000006,ORD000006,39,36,0,On-Time,Correct,5
DLV000007,ORD000007,36,51,15,Delayed,Correct,2
DLV000008,ORD000008,41,36,0,On-Time,Correct,5
DLV000009,ORD000009,50,72,22,Delayed,Correct,2
DLV000010,ORD000010,35,31,0,On-Time,Correct,4
DLV000011,ORD000011,72,72,0,On-Time,Correct,4
DLV000012,ORD000012,53,75,22,Delayed,Correct,3
DLV000013,ORD000013,59,54,0,On-Time,Correct,4
DLV000014,ORD000014,61,58,0,On-Time,Correct,4
DLV000015,ORD000015,16,16,0,On-Time,Partial,5
DLV000016,ORD000016,51,47,0,On-Time,Correct,4
DLV000017,ORD000017,78,77,0,On-Time,Correct,5
DLV000018,ORD000018,26,23,0,On-Time,Correct,4
DLV000019,ORD000019,72,71,0,On-Time,Correct,4
DLV000020,ORD000020,73,71,0,On-Time,Correct,4
DLV000021,ORD000021,32,29,0,On-Time,Correct,4
DLV000022,ORD000022,79,79,0,On-Time,Correct,4
DLV000023,ORD000023,80,104,24,Delayed,Wrong,2
DLV000024,ORD000024,45,45,0,On-Time,Correct,4
DLV000025,ORD000025,19,15,0,On-Time,Correct,4
DLV000026,ORD000026,82,77,0,On-Time,Correct,4
DLV000027,ORD000027,54,62,8,Delayed,Correct,3
DLV000028,ORD000028,49,46,0,On-Time,Correct,4
DLV000029,ORD000029,42,38,0,On-Time,Partial,4
DLV000030,ORD000030,51,80,29,Delayed,Correct,3
DLV000031,ORD000031,85,82,0,On-Time,Wrong,4
DLV000032,ORD000032,89,115,26,Delayed,Correct,3
DLV000033,ORD000033,50,45,0,On-Time,Correct,4
DLV000034,ORD000034,48,43,0,On-Time,Correct,4
DLV000035,ORD000035,59,74,15,Delayed,Correct,3
DLV000036,ORD000036,60,59,0,On-Time,Correct,4
DLV000037,ORD000037,68,64,0,On-Time,Wrong,4
DLV000038,ORD000038,53,53,0,On-Time,Correct,5
DLV000039,ORD000039,41,40,0,On-Time,Correct,5
DLV000040,ORD000040,32,28,0,On-Time,Wrong,4
DLV000041,ORD000041,90,105,15,Delayed,Correct,2
DLV000042,ORD000042,69,66,0,On-Time,Correct,5
DLV000043,ORD000043,31,29,0,On-Time,Correct,3
DLV000044,ORD000044,33,28,0,On-Time,Correct,4
DLV000045,ORD000045,88,84,0,On-Time,Correct,4
DLV000046,ORD000046,47,47,0,On-Time,Correct,4
DLV000047,ORD000047,32,27,0,On-Time,Partial,4
DLV000048,ORD000048,16,11,0,On-Time,Correct,4
DLV000049,ORD000049,58,53,0,On-Time,Correct,5
DLV000050,ORD000050,49,45,0,On-Time,Correct,4
DLV000051,ORD000051,37,44,7,Delayed,Partial,4
DLV000052,ORD000052,86,86,0,On-Time,Correct,5
DLV000053,ORD000053,20,18,0,On-Time,Correct,5
DLV000054,ORD000054,62,60,0,On-Time,Correct,5
DLV000055,ORD000055,57,56,0,On-Time,Correct,5
DLV000056,ORD000056,59,79,20,Delayed,Correct,5
DLV000057,ORD000057,36,47,11,Delayed,Correct,4
DLV000058,ORD000058,15,12,0,On-Time,Correct,4
DLV000059,ORD000059,19,29,10,Delayed,Correct,3
DLV000060,ORD000060,59,59,0,On-Time,Partial,4
DLV000061,ORD000061,42,42,0,On-Time,Correct,4
DLV000062,ORD000062,31,31,0,On-Time,Correct,5
DLV000063,ORD000063,55,93,38,Delayed,Correct,3
DLV000064,ORD000064,78,73,0,On-Time,Correct,4
DLV000065,ORD000065,54,71,17,Delayed,Correct,3
DLV000066,ORD000066,46,63,17,Delayed,Correct,3
DLV000067,ORD000067,47,43,0,On-Time,Correct,2
DLV000068,ORD000068,59,58,0,On-Time,Correct,4
DLV000069,ORD000069,54,75,21,Delayed,Correct,1
DLV000070,ORD000070,87,107,20,Delayed,Wrong,2
DLV000071,ORD000071,85,85,0,On-Time,Correct,4
DLV000072,ORD000072,53,49,0,On-Time,Correct,5
DLV000073,ORD000073,37,56,19,Delayed,Correct,2
DLV000074,ORD000074,75,74,0,On-Time,Correct,5
DLV000075,ORD000075,46,46,0,On-Time,Correct,5
DLV000076,ORD000076,48,45,0,On-Time,Correct,5
DLV000077,ORD000077,58,75,17,Delayed,Correct,5
DLV000078,ORD000078,61,97,36,Delayed,Correct,4
DLV000079,ORD000079,23,19,0,On-Time,Wrong,5
DLV000080,ORD000080,43,69,26,Delayed,Correct,5
DLV000081,ORD000081,18,15,0,On-Time,Correct,5
DLV000082,ORD000082,47,42,0,On-Time,Partial,5
DLV000083,ORD000083,49,49,0,On-Time,Correct,5
DLV000084,ORD000084,55,54,0,On-Time,Correct,5
DLV000085,ORD000085,64,59,0,On-Time,Correct,5
DLV000086,ORD000086,41,38,0,On-Time,Correct,5
DLV000087,ORD000087,79,75,0,On-Time,Correct,5
DLV000088,ORD000088,33,32,0,On-Time,Correct,5
DLV000089,ORD000089,30,52,22,Delayed,Correct,4
DLV000090,ORD000090,15,13,0,On-Time,Correct,5
DLV000091,ORD000091,39,36,0,On-Time,Correct,5
DLV000092,ORD000092,88,85,0,On-Time,Correct,5
DLV000093,ORD000093,18,14,0,On-Time,Correct,5
DLV000094,ORD000094,28,24,0,On-Time,Correct,4
DLV000095,ORD000095,40,53,13,Delayed,Correct,5
DLV000096,ORD000096,49,49,0,On-Time,Wrong,5
DLV000097,ORD000097,18,13,0,On-Time,Correct,5
DLV000098,ORD000098,50,48,0,On-Time,Correct,5
DLV000099,ORD000099,70,69,0,On-Time,Correct,5
DLV000100,ORD000100,40,36,0,On-Time,Correct,5
DLV000101,ORD000101,50,47,0,On-Time,Correct,5
DLV000102,ORD000102,60,60,0,On-Time,Partial,5
DLV000103,ORD000103,51,88,37,Delayed,Correct,5
DLV000104,ORD000104,31,29,0,On-Time,Correct,5
DLV000105,ORD000105,37,37,0,On-Time,Correct,5
DLV000106,ORD000106,58,57,0,On-Time,Correct,5
DLV000107,ORD000107,44,44,0,On-Time,Correct,5
DLV000108,ORD000108,49,46,0,On-Time,Correct,5
DLV000109,ORD000109,89,88,0,On-Time,Correct,5
DLV000110,ORD000110,81,78,0,On-Time,Correct,5
DLV000111,ORD000111,56,55,0,On-Time,Correct,5
DLV000112,ORD000112,32,32,0,On-Time,Correct,5
DLV000113,ORD000113,47,43,0,On-Time,Correct,5
DLV000114,ORD000114,79,75,0,On-Time,Correct,5
DLV000115,ORD000115,47,72,25,Delayed,Correct,4
DLV000116,ORD000116,65,78,13,Delayed,Correct,5
DLV000117,ORD000117,39,38,0,On-Time,Correct,4
DLV000118,ORD000118,76,73,0,On-Time,Correct,3
DLV000119,ORD000119,90,87,0,On-Time,Correct,4
DLV000120,ORD000120,60,80,20,Delayed,Correct,2
DLV000121,ORD000121,60,57,0,On-Time,Correct,4
DLV000122,ORD000122,32,31,0,On-Time,Correct,4
DLV000123,ORD000123,40,35,0,On-Time,Correct,4
DLV000124,ORD000124,34,30,0,On-Time,Correct,4
DLV000125,ORD000125,17,17,0,On-Time,Correct,4
DLV000126,ORD000126,66,65,0,On-Time,Partial,4
DLV000127,ORD000127,49,48,0,On-Time,Correct,4
DLV000128,ORD000128,58,56,0,On-Time,Correct,4
DLV000129,ORD000129,66,62,0,On-Time,Correct,4
DLV000130,ORD000130,42,65,23,Delayed,Correct,2
DLV000131,ORD000131,89,84,0,On-Time,Correct,4
DLV000132,ORD000132,55,52,0,On-Time,Correct,4
DLV000133,ORD000133,59,68,9,Delayed,Correct,2
DLV000134,ORD000134,62,61,0,On-Time,Correct,3
DLV000135,ORD000135,81,80,0,On-Time,Correct,4
DLV000136,ORD000136,51,51,0,On-Time,Correct,3
DLV000137,ORD000137,31,26,0,On-Time,Correct,4
DLV000138,ORD000138,46,42,0,On-Time,Correct,4
DLV000139,ORD000139,24,71,47,Delayed,Correct,3
DLV000140,ORD000140,57,54,0,On-Time,Correct,5
DLV000141,ORD000141,32,64,32,Delayed,Correct,2
DLV000142,ORD000142,18,39,21,Delayed,Correct,2
DLV000143,ORD000143,54,49,0,On-Time,Correct,4
DLV000144,ORD000144,49,46,0,On-Time,Wrong,4
DLV000145,ORD000145,18,15,0,On-Time,Correct,3
DLV000146,ORD000146,63,58,0,On-Time,Correct,5
DLV000147,ORD000147,57,54,0,On-Time,Wrong,3
DLV000148,ORD000148,40,36,0,On-Time,Correct,5
DLV000149,ORD000149,26,24,0,On-Time,Correct,4
DLV000150,ORD000150,53,73,20,Delayed,Correct,1
DLV000151,ORD000151,51,48,0,On-Time,Partial,5
DLV000152,ORD000152,70,68,0,On-Time,Partial,3
DLV000153,ORD000153,52,50,0,On-Time,Correct,3
DLV000154,ORD000154,48,46,0,On-Time,Correct,4
DLV000155,ORD000155,50,79,29,Delayed,Correct,1
DLV000156,ORD000156,48,45,0,On-Time,Correct,4
DLV000157,ORD000157,53,53,0,On-Time,Correct,4
DLV000158,ORD000158,42,41,0,On-Time,Correct,4
DLV000159,ORD000159,74,103,29,Delayed,Correct,2
DLV000160,ORD000160,53,50,0,On-Time,Correct,3
DLV000161,ORD000161,82,78,0,On-Time,Correct,4
DLV000162,ORD000162,24,22,0,On-Time,Correct,3
DLV000163,ORD000163,62,59,0,On-Time,Correct,3
DLV000164,ORD000164,67,65,0,On-Time,Correct,4
DLV000165,ORD000165,58,56,0,On-Time,Correct,4
DLV000166,ORD000166,34,34,0,On-Time,Correct,4
DLV000167,ORD000167,55,52,0,On-Time,Correct,3
DLV000168,ORD000168,47,47,0,On-Time,Correct,4
