fulfillment_id,transaction_id,est_delivery_min,real_delivery_min,late_minutes,late_status,accuracy_status,user_rating
FLV000001,TRD000001,52,76,24,Late,Accurate,3
FLV000002,TRD000002,54,48,0,Prompt,Accurate,5
FLV000003,TRD000003,30,60,30,Late,Accurate,3
FLV000004,TRD000004,46,46,0,Prompt,Accurate,5
FLV000005,TRD000005,58,67,9,Late,Accurate,3
FLV000006,TRD000006,44,33,0,Prompt,Accurate,5
FLV000007,TRD000007,34,51,17,Late,Accurate,2
FLV000008,TRD000008,41,32,0,Prompt,Accurate,5
FLV000009,TRD000009,45,75,30,Late,Accurate,2
FLV000010,TRD000010,39,28,0,Prompt,Accurate,5
FLV000011,TRD000011,67,77,10,Late,Accurate,4
FLV000012,TRD000012,56,71,15,Late,Accurate,3
FLV000013,TRD000013,58,53,0,Prompt,Accurate,4
FLV000014,TRD000014,62,61,0,Prompt,Accurate,4
FLV000015,TRD000015,16,16,0,Prompt,Incomplete,5
FLV000016,TRD000016,48,47,0,Prompt,Accurate,4
FLV000017,TRD000017,82,74,0,Prompt,Accurate,4
FLV000018,TRD000018,26,22,0,Prompt,Accurate,4
FLV000019,TRD000019,67,66,0,Prompt,Accurate,4
FLV000020,TRD000020,77,68,0,Prompt,Accurate,5
FLV000021,TRD000021,36,25,0,Prompt,Accurate,3
FLV000022,TRD000022,78,75,0,Prompt,Accurate,4
FLV000023,TRD000023,77,109,32,Late,Incorrect,3
FLV000024,TRD000024,44,47,3,Late,Accurate,4
FLV000025,TRD000025,16,14,0,Prompt,Accurate,4
FLV000026,TRD000026,79,81,2,Late,Accurate,4
FLV000027,TRD000027,51,65,14,Late,Accurate,3
FLV000028,TRD000028,54,50,0,Prompt,Accurate,4
FLV000029,TRD000029,39,39,0,Prompt,Incomplete,4
FLV000030,TRD000030,50,77,27,Late,Accurate,3
FLV000031,TRD000031,86,77,0,Prompt,Incorrect,4
FLV000032,TRD000032,90,116,26,Late,Accurate,3
FLV000033,TRD000033,48,42,0,Prompt,Accurate,4
FLV000034,TRD000034,44,39,0,Prompt,Accurate,4
FLV000035,TRD000035,61,70,9,Late,Accurate,3
FLV000036,TRD000036,61,54,0,Prompt,Accurate,3
FLV000037,TRD000037,71,63,0,Prompt,Incorrect,4
FLV000038,TRD000038,54,52,0,Prompt,Accurate,5
FLV000039,TRD000039,40,42,2,Late,Accurate,4
FLV000040,TRD000040,35,32,0,Prompt,Incorrect,3
FLV000041,TRD000041,92,106,14,Late,Accurate,1
FLV000042,TRD000042,67,65,0,Prompt,Accurate,5
FLV000043,TRD000043,30,34,4,Late,Accurate,3
FLV000044,TRD000044,31,28,0,Prompt,Accurate,4
FLV000045,TRD000045,92,89,0,Prompt,Accurate,4
FLV000046,TRD000046,50,50,0,Prompt,Accurate,4
FLV000047,TRD000047,33,24,0,Prompt,Incomplete,3
FLV000048,TRD000048,15,16,1,Late,Accurate,5
FLV000049,TRD000049,53,58,5,Late,Accurate,5
FLV000050,TRD000050,49,50,1,Late,Accurate,5
FLV000051,TRD000051,33,48,15,Late,Incomplete,3
FLV000052,TRD000052,85,91,6,Late,Accurate,5
FLV000053,TRD000053,23,21,0,Prompt,Accurate,5
FLV000054,TRD000054,67,58,0,Prompt,Accurate,5
FLV000055,TRD000055,61,53,0,Prompt,Accurate,5
FLV000056,TRD000056,62,74,12,Late,Accurate,5
FLV000057,TRD000057,39,52,13,Late,Accurate,4
FLV000058,TRD000058,15,12,0,Prompt,Accurate,4
FLV000059,TRD000059,17,30,13,Late,Accurate,3
FLV000060,TRD000060,62,54,0,Prompt,Incomplete,4
FLV000061,TRD000061,47,37,0,Prompt,Accurate,3
FLV000062,TRD000062,36,36,0,Prompt,Accurate,5
FLV000063,TRD000063,56,92,36,Late,Accurate,2
FLV000064,TRD000064,77,73,0,Prompt,Accurate,4
FLV000065,TRD000065,50,73,23,Late,Accurate,3
FLV000066,TRD000066,49,60,11,Late,Accurate,4
FLV000067,TRD000067,43,43,0,Prompt,Accurate,2
FLV000068,TRD000068,60,55,0,Prompt,Accurate,4
FLV000069,TRD000069,58,72,14,Late,Accurate,1
FLV000070,TRD000070,92,102,10,Late,Incorrect,3
FLV000071,TRD000071,88,88,0,Prompt,Accurate,4
FLV000072,TRD000072,51,47,0,Prompt,Accurate,5
FLV000073,TRD000073,42,55,13,Late,Accurate,2
FLV000074,TRD000074,78,72,0,Prompt,Accurate,5
FLV000075,TRD000075,48,44,0,Prompt,Accurate,5
FLV000076,TRD000076,49,48,0,Prompt,Accurate,5
FLV000077,TRD000077,60,75,15,Late,Accurate,5
FLV000078,TRD000078,59,94,35,Late,Accurate,4
FLV000079,TRD000079,24,20,0,Prompt,Incorrect,5
FLV000080,TRD000080,40,71,31,Late,Accurate,5
FLV000081,TRD000081,17,13,0,Prompt,Accurate,5
FLV000082,TRD000082,43,43,0,Prompt,Incomplete,5
FLV000083,TRD000083,51,48,0,Prompt,Accurate,5
FLV000084,TRD000084,51,51,0,Prompt,Accurate,5
FLV000085,TRD000085,65,63,0,Prompt,Accurate,5
FLV000086,TRD000086,43,39,0,Prompt,Accurate,5
FLV000087,TRD000087,79,74,0,Prompt,Accurate,5
FLV000088,TRD000088,31,29,0,Prompt,Accurate,5
FLV000089,TRD000089,35,54,19,Late,Accurate,4
FLV000090,TRD000090,15,14,0,Prompt,Accurate,5
FLV000091,TRD000091,39,32,0,Prompt,Accurate,5
FLV000092,TRD000092,90,83,0,Prompt,Accurate,4
FLV000093,TRD000093,21,14,0,Prompt,Accurate,5
FLV000094,TRD000094,28,20,0,Prompt,Accurate,4
FLV000095,TRD000095,37,55,18,Late,Accurate,5
FLV000096,TRD000096,53,49,0,Prompt,Incorrect,5
FLV000097,TRD000097,16,18,2,Late,Accurate,4
FLV000098,TRD000098,49,43,0,Prompt,Accurate,4
FLV000099,TRD000099,67,66,0,Prompt,Accurate,5
FLV000100,TRD000100,45,41,0,Prompt,Accurate,5
FLV000101,TRD000101,49,50,1,Late,Accurate,5
FLV000102,TRD000102,62,65,3,Late,Incomplete,5
FLV000103,TRD000103,49,91,42,Late,Accurate,4
FLV000104,TRD000104,32,33,1,Late,Accurate,5
FLV000105,TRD000105,32,36,4,Late,Accurate,5
FLV000106,TRD000106,59,56,0,Prompt,Accurate,5
FLV000107,TRD000107,39,45,6,Late,Accurate,5
FLV000108,TRD000108,45,44,0,Prompt,Accurate,5
FLV000109,TRD000109,94,90,0,Prompt,Accurate,5
FLV000110,TRD000110,76,80,4,Late,Accurate,5
FLV000111,TRD000111,53,56,3,Late,Accurate,5
FLV000112,TRD000112,34,36,2,Late,Accurate,4
FLV000113,TRD000113,49,41,0,Prompt,Accurate,5
FLV000114,TRD000114,80,70,0,Prompt,Accurate,5
FLV000115,TRD000115,48,69,21,Late,Accurate,4
FLV000116,TRD000116,64,73,9,Late,Accurate,5
FLV000117,TRD000117,43,39,0,Prompt,Accurate,4
FLV000118,TRD000118,81,68,0,Prompt,Accurate,3
FLV000119,TRD000119,93,89,0,Prompt,Accurate,4
FLV000120,TRD000120,55,79,24,Late,Accurate,2
FLV000121,TRD000121,58,56,0,Prompt,Accurate,4
FLV000122,TRD000122,32,26,0,Prompt,Accurate,4
FLV000123,TRD000123,38,30,0,Prompt,Accurate,4
FLV000124,TRD000124,30,26,0,Prompt,Accurate,4
FLV000125,TRD000125,15,14,0,Prompt,Accurate,4
FLV000126,TRD000126,62,60,0,Prompt,Incomplete,4
FLV000127,TRD000127,50,43,0,Prompt,Accurate,4
FLV000128,TRD000128,57,51,0,Prompt,Accurate,5
FLV000129,TRD000129,62,58,0,Prompt,Accurate,4
FLV000130,TRD000130,45,67,22,Late,Accurate,2
FLV000131,TRD000131,85,79,0,Prompt,Accurate,4
FLV000132,TRD000132,56,54,0,Prompt,Accurate,4
FLV000133,TRD000133,54,73,19,Late,Accurate,2
FLV000134,TRD000134,62,61,0,Prompt,Accurate,4
FLV000135,TRD000135,81,79,0,Prompt,Accurate,4
FLV000136,TRD000136,50,54,4,Late,Accurate,4
FLV000137,TRD000137,32,21,0,Prompt,Accurate,4
FLV000138,TRD000138,51,37,0,Prompt,Accurate,4
FLV000139,TRD000139,28,75,47,Late,Accurate,3
FLV000140,TRD000140,59,59,0,Prompt,Accurate,5
FLV000141,TRD000141,28,62,34,Late,Accurate,3
FLV000142,TRD000142,15,42,27,Late,Accurate,2
FLV000143,TRD000143,56,47,0,Prompt,Accurate,4
FLV000144,TRD000144,54,49,0,Prompt,Incorrect,4
FLV000145,TRD000145,17,18,1,Late,Accurate,4
FLV000146,TRD000146,63,61,0,Prompt,Accurate,5
FLV000147,TRD000147,55,50,0,Prompt,Incorrect,3
FLV000148,TRD000148,35,33,0,Prompt,Accurate,5
FLV000149,TRD000149,28,19,0,Prompt,Accurate,3
FLV000150,TRD000150,58,73,15,Late,Accurate,1
FLV000151,TRD000151,49,48,0,Prompt,Incomplete,5
FLV000152,TRD000152,73,70,0,Prompt,Incomplete,3
FLV000153,TRD000153,57,45,0,Prompt,Accurate,3
FLV000154,TRD000154,44,49,5,Late,Accurate,4
FLV000155,TRD000155,52,82,30,Late,Accurate,1
FLV000156,TRD000156,53,45,0,Prompt,Accurate,4
FLV000157,TRD000157,56,56,0,Prompt,Accurate,4
FLV000158,TRD000158,42,38,0,Prompt,Accurate,5
