user_id,registration_date,location_city,location_state,age_bracket,user_gender,account_segment,device_type
UUS00001,2024-04-20,Houston,TX,56+,Female,Intro,App
UUS00002,2026-02-02,New York,NY,26-35,Female,Standard,Website
UUS00003,2025-09-17,Seattle,WA,56+,Female,Standard,App
UUS00004,2024-07-22,Phoenix,AZ,18-25,Male,Intro,Website
UUS00005,2025-07-12,New York,NY,36-45,Female,Standard,Website
UUS00006,2025-09-29,New York,NY,36-45,Female,Standard,Website
UUS00007,2024-10-07,Phoenix,AZ,18-25,Female,Standard,Website
UUS00008,2024-05-21,New York,NY,26-35,Female,Elite,App
UUS00009,2024-09-06,Phoenix,AZ,26-35,Male,Standard,App
UUS00010,2025-06-30,Phoenix,AZ,36-45,Female,Standard,App
UUS00011,2024-02-05,San Jose,CA,18-25,Male,Elite,App
UUS00012,2025-01-29,Phoenix,AZ,26-35,Female,Intro,App
UUS00013,2024-05-08,Boston,MA,36-45,Male,Standard,Website
UUS00014,2025-01-28,Seattle,WA,46-55,Female,Elite,App
UUS00015,2025-03-30,Dallas,TX,36-45,Female,Intro,App
UUS00016,2025-02-24,Austin,TX,26-35,Female,Elite,Website
UUS00017,2024-02-04,Seattle,WA,36-45,Male,Standard,App
UUS00018,2025-10-26,Philadelphia,PA,46-55,Male,Elite,App
UUS00019,2024-10-19,Los Angeles,CA,18-25,Male,Elite,App
UUS00020,2025-07-25,San Jose,CA,56+,Female,Standard,App
UUS00021,2025-03-07,Boston,MA,36-45,Male,Standard,App
UUS00022,2025-01-28,Chicago,IL,46-55,Female,Standard,App
UUS00023,2024-05-04,Chicago,IL,36-45,Male,Standard,App
UUS00024,2024-05-18,Austin,TX,56+,Female,Elite,App
UUS00025,2025-05-25,Philadelphia,PA,56+,Male,Intro,App
UUS00026,2024-06-11,Seattle,WA,36-45,Female,Standard,App
UUS00027,2024-12-13,Houston,TX,26-35,Male,Elite,App
UUS00028,2024-06-10,Houston,TX,36-45,Female,Standard,App
UUS00029,2024-11-30,San Jose,CA,36-45,Female,Standard,Website
UUS00030,2024-03-10,San Jose,CA,36-45,Female,Standard,Website
UUS00031,2026-01-12,Seattle,WA,26-35,Female,Standard,App
UUS00032,2025-12-26,Boston,MA,36-45,Female,Standard,App
UUS00033,2024-04-06,Philadelphia,PA,26-35,Male,Standard,App
UUS00034,2026-02-22,San Diego,CA,26-35,Male,Standard,App
UUS00035,2026-01-13,San Jose,CA,36-45,Male,Standard,App
UUS00036,2026-01-22,Chicago,IL,46-55,Female,Standard,App
UUS00037,2025-10-09,New York,NY,46-55,Female,Elite,App
UUS00038,2024-06-22,Austin,TX,18-25,Male,Elite,App
UUS00039,2025-02-25,Chicago,IL,26-35,Female,Standard,App
UUS00040,2025-02-20,San Diego,CA,26-35,Male,Elite,Website
UUS00041,2024-11-30,Boston,MA,46-55,Female,Standard,App
UUS00042,2025-01-31,San Diego,CA,26-35,Male,Standard,Website
UUS00043,2024-03-25,San Diego,CA,56+,Male,Standard,App
UUS00044,2026-01-07,Seattle,WA,46-55,Female,Standard,App
UUS00045,2024-03-05,Los Angeles,CA,18-25,Male,Standard,App
UUS00046,2025-04-17,Philadelphia,PA,26-35,Female,Intro,App
UUS00047,2025-02-28,New York,NY,46-55,Female,Elite,Website
UUS00048,2024-07-26,Dallas,TX,36-45,Male,Standard,Website
UUS00049,2024-08-04,San Jose,CA,18-25,Female,Standard,App
UUS00050,2024-11-03,San Diego,CA,46-55,Male,Elite,App
UUS00051,2026-01-22,Seattle,WA,56+,Female,Intro,App
UUS00052,2025-03-03,Los Angeles,CA,46-55,Male,Standard,Website
UUS00053,2024-07-29,San Jose,CA,36-45,Other,Standard,App
UUS00054,2025-01-17,Phoenix,AZ,46-55,Female,Standard,App
UUS00055,2024-07-03,San Diego,CA,36-45,Male,Intro,App
UUS00056,2024-08-21,San Jose,CA,26-35,Male,Standard,App
UUS00057,2026-02-17,Philadelphia,PA,26-35,Female,Standard,App
UUS00058,2025-06-18,New York,NY,26-35,Male,Standard,Website
UUS00059,2025-09-09,Dallas,TX,26-35,Female,Intro,Website
UUS00060,2024-03-25,Phoenix,AZ,36-45,Male,Intro,Website
UUS00061,2024-09-07,New York,NY,18-25,Other,Standard,App
UUS00062,2025-10-06,Phoenix,AZ,26-35,Male,Intro,App
UUS00063,2025-01-15,Chicago,IL,18-25,Female,Standard,App
UUS00064,2024-07-07,Los Angeles,CA,56+,Male,Intro,App
UUS00065,2024-10-27,New York,NY,26-35,Female,Standard,Website
UUS00066,2025-09-17,Dallas,TX,36-45,Female,Intro,App
UUS00067,2024-05-27,San Diego,CA,26-35,Female,Standard,App
